Juego,Plataforma,Año,Publicadora,Desarrolladora,Región,Edición,Serial,Ubicación,Completitud,Caja,Manual,Juego,Estado General,Estado Caja,Estado Manual,Estado Juego,Extras,Observaciones,Precio Compra,Lugar Compra,Fecha Compra,Valor de referencia,Tasación Actual,Fecha tasación,Proceso Juego,Valoración Personal
1942,Famicom,1985,Capcom,Micronics,Japón,,CAP-19,,Completo,TRUE,TRUE,TRUE,8,6,8,8,Tarjeta puntuación más alta,Comprado por 3500Y. Tiene tarjeta de puntuaciones,"19,79 €",Mandarake (Osaka),23/oct/2025,"30,00 €","30,00 €",04/11/2025,Sin Jugar,
Akumajou Special: Boku Dracula-Kun,Famicom,1990,Konami,Konami,Japón,,RC847,,Casi completo,TRUE,TRUE,TRUE,6,5,7,8,,Falta inserto interior. Comprado por 12880Y,"73,02 €",Surugaya (Shinjuku),29/oct/2025,"120,00 €","120,00 €",04/11/2025,Sin Jugar,
Captain Tsubasa,Famicom,1988,Tecmo,Tecmo,Japón,,,G2,Completo,TRUE,TRUE,TRUE,,,,,,Comprado por 1000Y. También tengo un cartucho suelto (valorado en 15€),"20,00 €",Wallapop,04/mar/2018,"50,00 €","50,00 €",08/08/2025,Jugado,
Dragon Quest,Famicom,1986,Enix,Chunsoft,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Comprado por 500Y. Con pegatina de precio en caja,"2,00 €",Japón,oct/2018,"90,00 €","90,00 €",08/08/2025,Sin Jugar,
Dragon Spirit,Famicom,1987,Namcot,Namco,Japón,,T4907892000551,,Completo,TRUE,TRUE,TRUE,8,9,8,5,"Publicidad, registro","Comprado por 1740Y. Pegatinas del juego pegadas en cartucho, pero muy buen estado","9,86 €",Super Potato (Ikebukuro),31/oct/2025,"70,00 €","70,00 €",04/11/2025,Sin Jugar,
Excitebike,Famicom,1984,Nintendo,Nintendo R&D1,Japón,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,,"8,00 €",Japan Weekend Madrid,17/feb/2024,"10,00 €","10,00 €",08/08/2025,Sin Jugar,
F-1 Race,Famicom,1984,Nintendo,HAL Laboratory,Japón,,HVC-FR,,Completo,TRUE,TRUE,TRUE,6,5,6,8,,Comprado por 1380Y. Caja con ligera humedad y pegatina en solapa ,"7,69 €",Ojamakan (Nishinomiya),19/oct/2025,"15,00 €","15,00 €",04/11/2025,Sin Jugar,
Final Fantasy,Famicom,1987,Squaresoft,Squaresoft,Japón,,SQF-FF,,Completo,TRUE,TRUE,TRUE,7,7,8,8,,Comprado por 10000Y. Sin tarjeta de registro ,"56,33 €",Mandarake (Osaka),23/oct/2025,"100,00 €","100,00 €",04/11/2025,Sin Jugar,
Final Fantasy I - II,Famicom,1994,Squaresoft,Squaresoft,Japón,,,K10,Casi completo,TRUE,TRUE,TRUE,,,,,,Falta inserto y corcho. Corcho sustituido por caja de lentillas. Comprado por 5670Y,"36,00 €",Surugaya (Akihabara),oct/2023,"80,00 €","80,00 €",08/08/2025,Sin Jugar,
Final Fantasy II,Famicom,1988,Squaresoft,Squaresoft,Japón,,,K10,Completo,TRUE,TRUE,TRUE,,,,,,Solapa interior de la caja rota. Comprado por 4500Y,"28,00 €",Surugaya Outlet (Osaka),oct/2024,"90,00 €","90,00 €",08/08/2025,Sin Jugar,
